,entropy,numDigits,urlLength,numParams,hasHttp,hasHttps,ext,dsr,dse,num_%20,num_@,has_ip,File
0,-4.876200539854057,18,83,0,True,False,to,0,0,0,0,0,Benign_list_big_final
1,-4.9207004617039765,23,83,0,True,False,to,0,0,0,0,0,Benign_list_big_final
2,-4.821630358974771,22,83,0,True,False,to,0,0,0,0,0,Benign_list_big_final
3,-4.889039909417353,18,83,0,True,False,to,0,0,0,0,0,Benign_list_big_final
4,-4.772234389455376,18,83,0,True,False,to,0,0,0,0,0,Benign_list_big_final
5,-4.786924521369515,20,83,0,True,False,to,0,0,0,0,0,Benign_list_big_final
6,-4.913783858875309,15,83,0,True,False,to,0,0,0,0,0,Benign_list_big_final
7,-4.701737818435821,3,83,1,True,False,do?method=listMyOrderInfo_new&isVs=no,0,0,0,0,0,Benign_list_big_final
8,-4.51548687061071,16,83,0,True,False,ru,0,0,0,0,0,Benign_list_big_final
9,-4.632133222369844,13,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
10,-4.457274034635178,0,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
11,-4.664347420270035,8,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
12,-4.63633021594121,11,83,0,True,False,css,0,0,0,0,0,Benign_list_big_final
13,-4.623231113078761,18,83,0,True,False,html,0,0,0,0,0,Benign_list_big_final
14,-4.57627460022055,10,83,0,True,False,html,0,0,0,0,0,Benign_list_big_final
15,-4.493150010884425,5,83,0,True,False,pl,0,0,0,0,0,Benign_list_big_final
16,-4.588054190927628,10,83,0,True,False,html,0,0,0,0,0,Benign_list_big_final
17,-4.627151931865418,10,83,0,True,False,html,0,0,0,0,0,Benign_list_big_final
18,-4.479384913714932,5,83,0,True,False,pl,0,0,0,0,0,Benign_list_big_final
19,-4.531270534033689,5,83,0,True,False,pl,0,0,0,0,0,Benign_list_big_final
20,-4.5363945512554045,12,83,0,True,False,html,0,0,0,0,0,Benign_list_big_final
21,-4.465864920444781,12,83,0,True,False,html,0,0,0,0,0,Benign_list_big_final
22,-4.767809426331772,10,83,0,True,False,html,0,0,0,0,0,Benign_list_big_final
23,-4.695520269705266,5,83,1,True,False,aspx?lnkid=arm1001&soid=toprightmerch,0,0,0,0,0,Benign_list_big_final
24,-4.5126595833328915,1,83,0,True,False,aspx?soid=recs_recipe_3,0,0,0,0,0,Benign_list_big_final
25,-4.880903666668074,5,83,1,True,False,aspx?evt19=1&referringHubId=1,0,0,0,0,0,Benign_list_big_final
26,-4.853197685820729,8,83,1,True,False,aspx?evt19=1&referringHubId=15041,0,0,0,0,0,Benign_list_big_final
27,-4.514452168939845,1,83,0,True,False,aspx?soid=recs_recipe_9,0,0,0,0,0,Benign_list_big_final
28,-4.423694788329829,1,83,0,True,False,aspx?soid=home_pins_2,0,0,0,0,0,Benign_list_big_final
29,-4.877294071362898,8,83,1,True,False,aspx?evt19=1&referringHubId=15041,0,0,0,0,0,Benign_list_big_final
30,-4.5580514801363865,5,83,0,True,False,aspx?prop24=VH_Brands,0,0,0,0,0,Benign_list_big_final
31,-4.691128366372734,6,83,0,True,False,aspx?prop24=VH_Newest,0,0,0,0,0,Benign_list_big_final
32,-4.608229757683141,5,83,0,True,False,aspx?prop24=VH_FeaturedVideo,0,0,0,0,0,Benign_list_big_final
33,-4.4295680537878335,10,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
34,-4.640529198418279,4,83,0,True,False,org,0,0,0,0,0,Benign_list_big_final
35,-4.494857353656429,4,83,0,True,False,org,0,0,0,0,0,Benign_list_big_final
36,-4.656455588558547,4,83,0,True,False,org,0,0,0,0,0,Benign_list_big_final
37,-4.5258703420272655,4,83,0,True,False,org,0,0,0,0,0,Benign_list_big_final
38,-4.560348210080283,4,83,0,True,False,org,0,0,0,0,0,Benign_list_big_final
39,-4.669942522037628,4,83,0,True,False,org,0,0,0,0,0,Benign_list_big_final
40,-4.678844631328712,4,83,0,True,False,org,0,0,0,0,0,Benign_list_big_final
41,-4.6650464743681495,4,83,0,True,False,org,0,0,0,0,0,Benign_list_big_final
42,-4.422375276174459,4,83,0,True,False,org,0,0,0,0,0,Benign_list_big_final
43,-4.516236118846998,8,83,0,True,False,org,0,0,0,0,0,Benign_list_big_final
44,-4.4845591250748225,4,83,0,True,False,org,0,0,0,0,0,Benign_list_big_final
45,-4.581845277896871,10,83,0,True,False,org,0,0,5,0,0,Benign_list_big_final
46,-4.51016993253353,6,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
47,-4.587129156182983,13,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
48,-4.761204046984587,14,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
49,-4.436173433135021,6,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
50,-4.505744969409928,6,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
51,-4.637728324137438,7,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
52,-4.5686609321994744,10,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
53,-4.212107302810039,18,83,0,True,False,jp,0,0,1,0,0,Benign_list_big_final
54,-4.54775325155478,7,83,0,True,False,html,0,0,0,0,0,Benign_list_big_final
55,-4.646939668004297,11,83,0,True,False,-1-2014,0,0,0,0,0,Benign_list_big_final
56,-3.9850300482486927,25,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
57,-4.637340493520805,12,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
58,-4.4776775709429275,10,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
59,-4.569638149988001,10,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
60,-4.612932884497154,10,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
61,-4.474067975637751,10,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
62,-4.593734535530169,10,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
63,-4.56283984978535,10,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
64,-4.562443383468921,10,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
65,-4.75821025184828,13,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
66,-4.575266311546661,1,83,3,True,False,com,0,0,0,0,0,Benign_list_big_final
67,-4.598663642990716,0,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
68,-4.606555474702206,0,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
69,-4.454168583666947,0,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
70,-4.447448879505154,8,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
71,-4.255038519925907,4,83,0,True,False,html,0,0,0,0,0,Benign_list_big_final
72,-4.533256040496104,4,83,0,True,False,html,0,0,0,0,0,Benign_list_big_final
73,-4.466369064781726,4,83,0,True,False,html,0,0,0,0,0,Benign_list_big_final
74,-4.429710780505123,11,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
75,-5.4095097266792465,3,83,0,True,False,ir,0,0,0,0,0,Benign_list_big_final
76,-4.219202411106311,4,83,0,True,False,info,0,0,0,0,0,Benign_list_big_final
77,-4.217907855059274,2,83,0,True,False,info,0,0,0,0,0,Benign_list_big_final
78,-4.258318461358344,4,83,0,True,False,info,0,0,0,0,0,Benign_list_big_final
79,-4.08004458807967,2,83,0,True,False,info,0,0,0,0,0,Benign_list_big_final
80,-4.01393992039265,2,83,0,True,False,info,0,0,0,0,0,Benign_list_big_final
81,-4.1979271980649315,0,83,0,True,False,br,0,0,0,0,0,Benign_list_big_final
82,-4.780404384857277,5,83,1,True,False,br,0,0,0,0,0,Benign_list_big_final
83,-5.196841239276796,11,83,0,True,False,js?rev=y3xh0qyJB62CM2ZD4nL8tw%3D%3D,0,0,0,0,0,Benign_list_big_final
84,-4.303407770380154,0,83,0,True,False,aspx,0,0,0,0,0,Benign_list_big_final
85,-4.792409956210886,5,83,1,True,False,br,0,0,0,0,0,Benign_list_big_final
86,-4.459570764579076,6,83,0,True,False,ua,0,0,0,0,0,Benign_list_big_final
87,-4.482152728204704,6,83,0,True,False,ua,0,0,0,0,0,Benign_list_big_final
88,-4.426572269745823,6,83,0,True,False,ua,0,0,0,0,0,Benign_list_big_final
89,-4.8191909023135855,11,83,1,True,False,com,0,0,0,0,0,Benign_list_big_final
90,-4.550361204980158,7,83,0,True,False,php%3Fbo_table%3Dkin,0,0,0,0,0,Benign_list_big_final
91,-4.498668505516864,7,83,0,True,False,php%3Fbo_table%3Dpds,0,0,0,0,0,Benign_list_big_final
92,-4.498668505516865,7,83,0,True,False,php%3Fbo_table%3Duse,0,0,0,0,0,Benign_list_big_final
93,-4.3439848845377105,9,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
94,-4.610669214344326,8,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
95,-4.616154649185699,7,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
96,-4.473252607819326,8,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
97,-4.5873551368295145,7,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
98,-4.394165150990168,8,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
99,-4.459259541097595,8,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
100,-4.653965937759184,6,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
101,-4.535469516510758,8,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
102,-4.4108738491577935,8,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
103,-4.419968879304341,8,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
104,-4.604341998687551,7,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
105,-4.64343973962534,8,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
106,-4.588836498954986,8,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
107,-4.631156004581319,8,83,0,True,False,net,0,0,0,0,0,Benign_list_big_final
108,-4.362402914383043,12,83,0,True,False,com,0,0,0,0,0,Benign_list_big_final
109,-4.240852532348712,0,83,0,True,False,br,0,0,0,0,0,Benign_list_big_final
110,-4.205507806294939,0,83,0,True,False,br,0,0,0,0,0,Benign_list_big_final
111,-4.232825956525652,0,83,0,True,False,br,0,0,0,0,0,Benign_list_big_final
112,-4.199146837985544,0,83,0,True,False,br,0,0,0,0,0,Benign_list_big_final
113,-4.108423210028151,0,83,0,True,False,br,0,0,0,0,0,Benign_list_big_final
114,-4.094903216758001,0,83,0,True,False,br,0,0,0,0,0,Benign_list_big_final
